Region,District,Ward,Village,shpDistrict,shpWard,shpVillage,Population,Notes
Morogoro,Ulanga,Sali,Sali,Ulanga,Sali,Sali,2184,
Morogoro,Ulanga,Euga,Euga,Ulanga,Euga,Euga,1771,
Morogoro,Ulanga,Euga,Ebuyu,Ulanga,Euga,Ebuyu,2827,
Morogoro,Ulanga,Mwaya,Nkongo,Ulanga,Mwaya,Nkongo,1388,
Morogoro,Ulanga,Mwaya,Mwaya,Ulanga,Mwaya,Mwaya,7375,
Morogoro,Ulanga,Lukande,Lukande,Ulanga,Lukande,Lukande,1528,
Morogoro,Ulanga,Lukande,Gombe,Ulanga,Lukande,Gombe,1369,
Morogoro,Ulanga,Mbuga,Mbuga,Ulanga,Mbuga,Mbuga,3334,
Morogoro,Ulanga,Mbuga,Iputi,Ulanga,Mbuga,Iputi,4878,
Morogoro,Ulanga,Ilonga,Chigandugandu,Ulanga,Ilonga,Chigandugandu,4203,
Morogoro,Ulanga,Ilonga,Luhombero,Ulanga,Ilonga,Luhombero,4974,
Morogoro,Ulanga,Ilonga,Ketaketa,Ulanga,Ilonga,Ketaketa,2966,
Morogoro,Ulanga,Kilosa kwa Mpepo,Ihowanja,Ulanga,Kilosa kwa Mpepo,Ihowanja,2391,
Morogoro,Ulanga,Kilosa kwa Mpepo,Kilosa kwa Mpepo,Ulanga,Kilosa kwa Mpepo,Kilosa kwa Mpepo,862,
Morogoro,Ulanga,Ngoheranga,Tanga,Ulanga,Ngoheranga,Tanga,1926,
Morogoro,Ulanga,Ngoheranga,Ngoheranga,Ulanga,Ngoheranga,Ngoheranga,4071,
Morogoro,Ulanga,Ngoheranga,Mabanda,Ulanga,Ngoheranga,Mabanda,1337,
Morogoro,Ulanga,Biro,Ngombo,Ulanga,Biro,Ngombo,2489,
Morogoro,Ulanga,Biro,Biro,Ulanga,Biro,Biro,3152,
Morogoro,Ulanga,Biro,Mbalinyi,Ulanga,Biro,Mbalinyi,1482,
Morogoro,Ulanga,Malinyi,Igawa,Ulanga,Malinyi,Igawa,6027,
Morogoro,Ulanga,Malinyi,Misegese,Ulanga,Malinyi,Misegese,7027,
Morogoro,Ulanga,Malinyi,Malinyi,Ulanga,Malinyi,Malinyi,6354,
Morogoro,Ulanga,Malinyi,Kipingo,Ulanga,Malinyi,Kipingo,7744,
Morogoro,Ulanga,Malinyi,Lugala,Ulanga,Malinyi,Lugala,4097,
Morogoro,Ulanga,Sofi,Sofi Mission,Ulanga,Sofi,Sofi Mission,1600,
Morogoro,Ulanga,Sofi,Majiji,Ulanga,Sofi,Majiji,8522,
Morogoro,Ulanga,Sofi,Kiswago,Ulanga,Sofi,Kiswago,3961,
Morogoro,Ulanga,Usangule,Usangule,Ulanga,Usangule,Usangule,7174,
Morogoro,Ulanga,Usangule,Kalangakelo,Ulanga,Usangule,Kalangakelo,7228,
Morogoro,Ulanga,Mtimbira,Madibira,Ulanga,Mtimbira,Madibira,4317,
Morogoro,Ulanga,Mtimbira,Kipenyo,Ulanga,Mtimbira,Kipenyo,3685,
Morogoro,Ulanga,Mtimbira,Munga,Ulanga,Mtimbira,Munga,3509,
Morogoro,Ulanga,Mtimbira,Mtimbira,Ulanga,Mtimbira,Mtimbira,4490,
Morogoro,Ulanga,Itete,Minazini,Ulanga,Itete,Minazini,11562,
Morogoro,Ulanga,Itete,Njiwa,Ulanga,Itete,Njiwa,9193,
Morogoro,Ulanga,Iragua,Kidugalo,Ulanga,Iragua,Kidugalo,9730,
Morogoro,Ulanga,Iragua,Iragua,Ulanga,Iragua,Iragua,8076,
Morogoro,Morogoro Urban,Sabasaba,Police  Quarters,Morogoro Urban,Sabasaba,Police Quarters,195,
Morogoro,Morogoro Urban,Sabasaba,Mindu,Morogoro Urban,Sabasaba,Mindu,93,
Morogoro,Morogoro Urban,Sabasaba,Kingo,Morogoro Urban,Sabasaba,Kingo,221,
