"","District","est_dogs","Pop2014","Gr","pred.dogs.per1000pop","pred.dogs.per1000pop.lwr","pred.dogs.per1000pop.upr","HumanDogRatio","HumanDogRatio.upr","HumanDogRatio.lwr","Dog_Hum_Ratio","Dog_Hum_Ratio.lwr","Dog_Hum_Ratio.upr","Numdogs","Numdogs.lwr","Numdogs.upr","MvCI","Ppop.lvst","Ppop.peas"
"kakonko","kakonko",NA,160919.822,-2,24.8220376436224,7.97200946347674,77.2871075485026,40.286781220676,12.9387685956864,125.438887721024,0.0248220376436224,0.00797200946347674,0.0772871075485026,3994.35787928902,1282.85434384499,12437.0275895999,1,-6.90775527898214,-0.157824085193567
"nachingwea","nachingwea",4562.39000056113,182051.1264,1,24.8633373778553,7.98537442831868,77.414722517303,40.2198620725251,12.917439570703,125.228943110505,0.0248633373778553,0.00798537442831868,0.077414722517303,4526.39857570179,1453.74640940117,14093.4374342185,1,-6.90775527898214,-0.154317360384357
"arusha urban","arusha urban",NA,441803.3178,3,24.9663706384132,7.134264569191,87.3698552681094,40.053879455807,11.4455952448511,140.168617283757,0.0249663706384132,0.007134264569191,0.0873698552681094,11030.2253814754,3151.94175673157,38600.2919331566,1,-4.01738352108597,-2.57702193869581
"makete","makete",NA,95330.4066,-1,25.2181289467049,8.09992418913082,78.5135777475564,39.6540124809959,12.7366505092315,123.457945611625,0.0252181289467049,0.00809992418913082,0.0785135777475564,2404.05448618061,772.169066379016,7484.73129029527,1,-6.90775527898214,-0.124430078378177
"nanyumbu","nanyumbu",2409.06172510415,153889.2257,1,25.2316643117118,8.1042849166959,78.5555900962162,39.6327403395197,12.7298388157378,123.391515757284,0.0252316643117118,0.0081042849166959,0.0785555900962162,3882.88128405165,1247.16213068252,12088.8589343133,1,-6.90775527898214,-0.123298216344494
"buhigwe","buhigwe",NA,269831.4278,3,25.2587109046822,8.11299653279971,78.6395598700129,39.590302283187,12.7162461444717,123.259019766265,0.0252587109046822,0.00811299653279971,0.0786395598700129,6815.59402779782,2189.1414381818,21219.4247212892,1,-6.90775527898214,-0.121038328377056
"bukoba urban","bukoba urban",NA,141997.59,5,25.4685468557145,7.79045458053552,83.2617496496765,39.2641168601115,12.010316912718,128.362214253646,0.0254685468557145,0.00779045458053552,0.0832617496496765,3616.47227431353,1106.22577544051,11822.9677894374,1,-4.71053070164592,-1.95192822138088
"njombe","njombe",NA,85747,0,25.7798379658221,8.28031289318354,80.2626729348782,38.7900033090107,12.4590916728049,120.768383139629,0.0257798379658222,0.00828031289318354,0.0802626729348782,2210.54376605535,710.011989651809,6882.283416147,1,-6.90775527898214,-0.0779615414697118
"micheweni","micheweni",1761.44704035021,108010.1664,2,26.2337803310948,8.39230846371715,82.0049970083334,38.118791397163,12.1943788364309,119.156725985865,0.0262337803310948,0.00839230846371715,0.0820049970083334,2833.5149788626,906.454633646218,8857.3733725016,0,-4.42284862919414,-0.556869562267398
"kaskazini b","kaskazini b",NA,88339.68,4,27.2743810327267,8.69370366724992,85.5667376288289,36.6644434130364,11.6867842307813,115.025774776187,0.0272743810327267,0.00869370366724992,0.085566737628829,2409.41009262915,767.998999979684,7558.93822077471,0,-4.42284862919414,-0.474815186242958
"ilemela","ilemela",NA,363889.7609,3,27.2933903199725,8.59738903421696,86.6459749807301,36.6389073792797,11.541217006588,116.314382892303,0.0272933903199725,0.00859738903421696,0.0866459749807302,9931.78527768515,3128.50184002549,31529.5831186853,1,-4.96184512992682,-1.59454929994035
"morogoro urban","morogoro urban",17810.4906331191,335102.2394,3,30.2395460565418,9.66752879660042,94.5877860769619,33.0692794835678,10.5721895127807,103.439050561882,0.0302395460565418,0.00966752879660042,0.0945877860769619,10133.3396019866,3239.61054920479,31696.5789342781,1,-4.96184512992682,-1.37832619147071
