"layer","cellID","Region","RegionID","District","DistrictID","Ward","WardID","Village","VillageID","VillCens","VillIDCens","PA","Urban"
1,32393,"Lindi",2,"Liwale",3,"Lilombe",357,"Lilombe",326,"Lilombe",180,0,0
1,32394,"Lindi",2,"Liwale",3,"Lilombe",357,"Lilombe",326,"Lilombe",180,0,0
1,32395,"Lindi",2,"Liwale",3,"Lilombe",357,"Luwele",1561,"Luwele",925,0,0
1,32396,"Lindi",2,"Liwale",3,"Lilombe",357,"Luwele",1561,"Luwele",925,0,0
1,32397,"Lindi",2,"Liwale",3,"Lilombe",357,"Luwele",1561,"Luwele",925,0,0
1,32398,"Lindi",2,"Liwale",3,"Lilombe",357,"Luwele",1561,"Luwele",925,0,0
1,32399,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32400,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32401,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32402,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32403,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32404,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32405,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32406,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32407,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32408,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32409,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32410,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32411,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32412,"Lindi",2,"Liwale",3,"Nangano",349,"Mitungunyu",1186,"Mitungunyu",2572,0,0
