"X","ID","Biter_ID","Freq","prop"
787,57,56,9077,18.154
788,57,58,2293,4.586
789,57,59,6,0.012
790,57,60,9036,18.072
791,59,12,3036,6.072
792,59,14,1013,2.026
793,59,16,462,0.924
794,59,17,4098,8.196
795,59,19,76,0.152
796,59,33,42,0.084
797,59,66,35341,70.682
798,59,71,1930,3.86
799,59,86,4002,8.004
800,60,2,232,0.464
801,60,3,1,0.002
802,60,6,1,0.002
803,60,7,2,0.004
804,60,8,194,0.388
805,60,9,487,0.974
806,60,42,1,0.002
807,60,43,5,0.01
808,60,44,1,0.002
809,60,45,93,0.186
810,60,47,226,0.452
811,60,50,4,0.008
812,60,51,17,0.034
813,60,52,52,0.104
814,60,53,2,0.004
815,60,54,1291,2.582
816,60,56,47377,94.754
817,60,59,10,0.02
818,60,69,4,0.008
819,68,67,5,0.01
820,68,71,28,0.056
821,68,72,6,0.012
822,68,76,1,0.002
823,68,77,1,0.002
824,68,78,38,0.076
825,68,79,803,1.606
826,68,82,32,0.064
827,68,83,111,0.222
828,68,84,77,0.154
829,68,85,48852,97.704
830,68,86,4,0.008
831,68,171,2,0.004
832,68,173,7,0.014
833,68,175,13,0.026
834,68,177,20,0.04
835,49,27,5434,10.868
836,49,35,2,0.004
837,49,36,3,0.006
838,49,38,1,0.002
839,49,39,1,0.002
840,49,40,4,0.008
841,49,41,1,0.002
842,49,59,20464,40.928
843,49,65,23582,47.164
844,49,66,4,0.008
845,49,74,12,0.024
846,49,90,492,0.984
847,50,1,1292,2.584
848,50,3,23,0.046
849,50,6,188,0.376
850,50,7,4127,8.254
851,50,11,1,0.002
852,50,27,1,0.002
853,50,42,19804,39.608
854,50,43,20548,41.096
855,50,44,1560,3.12
856,50,49,583,1.166
857,50,59,1,0.002
858,50,61,24,0.048
859,50,62,50,0.1
860,50,69,1789,3.578
861,50,70,9,0.018
862,51,1,130,0.26
863,51,3,3,0.006
864,51,6,50,0.1
865,51,7,437,0.874
866,51,42,1526,3.052
867,51,43,2470,4.94
868,51,44,237,0.474
869,51,49,64,0.128
870,51,50,44766,89.532
871,51,59,13,0.026
872,51,62,5,0.01
873,51,69,296,0.592
874,51,70,2,0.004
875,51,81,1,0.002
876,52,7,2,0.004
877,52,42,6,0.012
878,52,43,9,0.018
879,52,44,1,0.002
880,52,45,351,0.702
881,52,47,15962,31.924
882,52,49,12,0.024
883,52,50,359,0.718
884,52,51,4796,9.592
885,52,53,28470,56.94
886,52,63,26,0.052
887,52,64,6,0.012
888,53,1,6,0.012
889,53,6,2,0.004
890,53,7,18,0.036
891,53,42,45,0.09
892,53,43,98,0.196
893,53,44,5,0.01
894,53,49,3,0.006
895,53,50,3816,7.632
896,53,51,46003,92.006
897,53,69,3,0.006
898,53,70,1,0.002
899,54,42,1,0.002
900,54,43,2,0.004
901,54,44,2,0.004
902,54,45,58,0.116
903,54,47,722,1.444
904,54,50,32,0.064
905,54,51,947,1.894
906,54,52,45570,91.14
907,54,53,2666,5.332
908,55,9,1,0.002
909,55,46,2668,5.336
910,55,47,2,0.004
911,55,50,1,0.002
912,55,51,20,0.04
913,55,52,552,1.104
914,55,53,67,0.134
915,55,54,14286,28.572
916,55,56,31281,62.562
917,55,58,143,0.286
918,55,60,979,1.958
919,58,2,12,0.024
920,58,8,1,0.002
921,58,9,6,0.012
922,58,45,1,0.002
923,58,47,3,0.006
924,58,52,11,0.022
925,58,53,1,0.002
926,58,54,186,0.372
927,58,56,22867,45.734
928,58,60,26911,53.822
929,58,69,1,0.002
930,61,12,3,0.006
931,61,22,20976,41.952
932,61,23,15923,31.846
933,61,24,1484,2.968
934,61,27,1518,3.036
935,61,28,185,0.37
936,61,41,1,0.002
937,61,49,6924,13.848
938,61,59,104,0.208
939,61,65,2681,5.362
940,61,78,13,0.026
941,61,82,13,0.026
942,61,88,174,0.348
943,61,90,1,0.002
944,62,23,1,0.002
945,62,49,1,0.002
946,62,61,49997,99.994
947,62,65,1,0.002
948,64,1,2,0.004
949,64,6,1,0.002
950,64,7,1,0.002
951,64,22,1,0.002
952,64,23,1,0.002
953,64,24,1,0.002
954,64,25,3378,6.756
955,64,26,7757,15.514
956,64,27,2,0.004
957,64,30,1,0.002
958,64,42,7,0.014
959,64,43,12,0.024
960,64,50,123,0.246
961,64,51,377,0.754
962,64,53,19,0.038
963,64,62,1,0.002
964,64,63,38291,76.582
965,64,65,25,0.05
966,63,1,9,0.018
967,63,6,1,0.002
968,63,7,5,0.01
969,63,24,1,0.002
970,63,25,4836,9.672
971,63,26,10789,21.578
972,63,30,3,0.006
973,63,42,28,0.056
974,63,43,33,0.066
975,63,44,6,0.012
976,63,50,437,0.874
977,63,51,921,1.842
978,63,53,79,0.158
979,63,61,9,0.018
980,63,62,3,0.006
981,63,64,32831,65.662
982,63,65,1,0.002
983,63,75,8,0.016
984,65,12,133,0.266
985,65,13,282,0.564
986,65,14,105,0.21
987,65,16,88,0.176
988,65,17,713,1.426
989,65,19,25,0.05
990,65,33,43,0.086
991,65,59,7637,15.274
992,65,66,37873,75.746
993,65,71,604,1.208
994,65,86,2497,4.994
995,67,22,17,0.034
996,67,23,2,0.004
997,67,24,35,0.07
998,67,27,9,0.018
999,67,34,8,0.016
1000,67,35,6,0.012
1001,67,36,2,0.004
1002,67,37,2,0.004
1003,67,38,5,0.01
1004,67,39,2,0.004
1005,67,40,4,0.008
1006,67,41,7,0.014
1007,67,65,3,0.006
1008,67,66,32,0.064
1009,67,71,491,0.982
1010,67,72,37383,74.766
1011,67,74,3347,6.694
1012,67,77,7274,14.548
1013,67,84,702,1.404
1014,67,86,537,1.074
1015,67,90,126,0.252
1016,67,178,1,0.002
1017,67,181,5,0.01
1018,69,1,313,0.626
1019,69,3,576,1.152
1020,69,6,43432,86.864
1021,69,7,3207,6.414
1022,69,42,230,0.46
1023,69,43,528,1.056
1024,69,44,84,0.168
1025,69,61,1,0.002
1026,69,62,2,0.004
1027,69,70,1627,3.254
1028,70,23,1,0.002
1029,70,49,10,0.02
1030,70,59,9,0.018
1031,70,61,14371,28.742
1032,70,62,35609,71.218
1033,71,14,543,1.086
1034,71,16,7,0.014
1035,71,17,131,0.262
1036,71,19,247,0.494
1037,71,33,165,0.33
1038,71,66,23116,46.232
1039,71,149,93,0.186
1040,71,150,14,0.028
1041,71,151,155,0.31
1042,71,155,1249,2.498
1043,71,156,3,0.006
1044,71,158,181,0.362
1045,71,160,4,0.008
1046,71,165,9829,19.658
1047,71,180,2016,4.032
1048,71,189,12245,24.49
1049,71,213,2,0.004
1050,72,22,3,0.006
1051,72,24,7,0.014
1052,72,27,1,0.002
1053,72,36,1,0.002
1054,72,38,2,0.004
1055,72,40,1,0.002
1056,72,66,1,0.002
1057,72,71,1481,2.962
1058,72,74,46041,92.082
1059,72,84,1170,2.34
