"layer","cellID","District","DistrictID","Village","VillageID"
1,1146,"Ngorongoro",1,"Malambo",12
1,1147,"Ngorongoro",1,"Malambo",12
1,1148,"Ngorongoro",1,"Pinyinyi",9
1,1149,"Ngorongoro",1,"Pinyinyi",9
1,1150,"Ngorongoro",1,"Pinyinyi",9
1,1151,"Ngorongoro",1,"Pinyinyi",9
1,1152,"Ngorongoro",1,"Pinyinyi",9
1,1153,"Ngorongoro",1,"Pinyinyi",9
1,1154,"Ngorongoro",1,"Pinyinyi",9
1,1155,"Ngorongoro",1,"Pinyinyi",9
1,1156,"Ngorongoro",1,"Pinyinyi",9
1,1157,"Ngorongoro",1,"Pinyinyi",9
1,1158,"Ngorongoro",1,"Pinyinyi",9
1,1159,"Ngorongoro",1,"Pinyinyi",9
1,1160,"Ngorongoro",1,"Pinyinyi",9
1,1161,"Ngorongoro",1,"Pinyinyi",9
1,1162,"Ngorongoro",1,"Arash",29
1,1163,"Ngorongoro",1,"Arash",29
1,1164,"Ngorongoro",1,"Arash",29
1,1165,"Ngorongoro",1,"Arash",29
1,1166,"Ngorongoro",1,"Arash",29
1,1167,"Ngorongoro",1,"Arash",29
1,1168,"Ngorongoro",1,"Arash",29
1,1169,"Ngorongoro",1,"Arash",29
1,1170,"Ngorongoro",1,"Arash",29
1,1171,"Ngorongoro",1,"Arash",29
1,1172,"Ngorongoro",1,"Arash",29
1,1173,"Ngorongoro",1,"Arash",29
1,1174,"Ngorongoro",1,"Arash",29
1,1175,"Ngorongoro",1,"Arash",29
1,1176,"Ngorongoro",1,"Arash",29
1,1177,"Ngorongoro",1,"Arash",29
1,1178,"Ngorongoro",1,"Arash",29
1,1179,"Ngorongoro",1,"Arash",29
1,1180,"Ngorongoro",1,"Arash",29
1,1181,"Ngorongoro",1,"Arash",29
1,1182,"Ngorongoro",1,"Arash",29
1,1183,"Ngorongoro",1,"Arash",29
1,1184,"Ngorongoro",1,"Arash",29
1,1185,"Ngorongoro",1,"Arash",29
1,1186,"Ngorongoro",1,"Arash",29
1,1187,"Ngorongoro",1,"Malambo",12
1,1188,"Ngorongoro",1,"Malambo",12
1,1189,"Ngorongoro",1,"Malambo",12
1,1190,"Ngorongoro",1,"Malambo",12
1,1191,"Ngorongoro",1,"Malambo",12
1,1192,"Ngorongoro",1,"Malambo",12
1,1193,"Ngorongoro",1,"Malambo",12
1,1194,"Ngorongoro",1,"Pinyinyi",9
1,1195,"Ngorongoro",1,"Pinyinyi",9
1,1196,"Ngorongoro",1,"Pinyinyi",9
1,1197,"Ngorongoro",1,"Pinyinyi",9
1,1198,"Ngorongoro",1,"Pinyinyi",9
1,1199,"Ngorongoro",1,"Pinyinyi",9
1,1200,"Ngorongoro",1,"Pinyinyi",9
1,1201,"Ngorongoro",1,"Pinyinyi",9
1,1202,"Ngorongoro",1,"Pinyinyi",9
1,1203,"Ngorongoro",1,"Pinyinyi",9
1,1204,"Ngorongoro",1,"Pinyinyi",9
1,1205,"Ngorongoro",1,"Pinyinyi",9
1,1206,"Ngorongoro",1,"Pinyinyi",9
1,1207,"Ngorongoro",1,"Pinyinyi",9
1,1208,"Ngorongoro",1,"Arash",29
1,1209,"Ngorongoro",1,"Arash",29
1,1210,"Ngorongoro",1,"Arash",29
1,1211,"Ngorongoro",1,"Arash",29
1,1212,"Ngorongoro",1,"Arash",29
1,1213,"Ngorongoro",1,"Arash",29
1,1214,"Ngorongoro",1,"Arash",29
1,1215,"Ngorongoro",1,"Arash",29
1,1216,"Ngorongoro",1,"Arash",29
1,1217,"Ngorongoro",1,"Arash",29
1,1218,"Ngorongoro",1,"Arash",29
1,1219,"Ngorongoro",1,"Arash",29
1,1220,"Ngorongoro",1,"Arash",29
1,1221,"Ngorongoro",1,"Arash",29
1,1222,"Ngorongoro",1,"Arash",29
1,1223,"Ngorongoro",1,"Arash",29
1,1224,"Ngorongoro",1,"Arash",29
1,1225,"Ngorongoro",1,"Arash",29
1,1226,"Ngorongoro",1,"Arash",29
1,1227,"Ngorongoro",1,"Arash",29
1,1228,"Ngorongoro",1,"Arash",29
1,1229,"Ngorongoro",1,"Arash",29
1,1230,"Ngorongoro",1,"Arash",29
1,1231,"Ngorongoro",1,"Arash",29
1,1232,"Ngorongoro",1,"Arash",29
1,1233,"Ngorongoro",1,"Malambo",12
1,1234,"Ngorongoro",1,"Malambo",12
1,1235,"Ngorongoro",1,"Malambo",12
1,1236,"Ngorongoro",1,"Malambo",12
1,1237,"Ngorongoro",1,"Malambo",12
1,1238,"Ngorongoro",1,"Malambo",12
1,1239,"Ngorongoro",1,"Malambo",12
1,1240,"Ngorongoro",1,"Malambo",12
1,1241,"Ngorongoro",1,"Ngaresero",10
