"ID","biter_ID","ID_species","Biter_species","ID_Time_diff","Biter_Time_diff","ID_lat","ID_long","Biter_lat","Biter_long","Year","ID_accuracy","Biter_accuracy","Serial_Int","Bite_dist","Species_trans"
394,392,2,1,2172,1429,NA,NA,NA,NA,2014,7,7,743,6481.11200794159,"DW"
392,97,1,2,1429,1414,NA,NA,NA,NA,2014,7,7,15,32825.8713169885,"WD"
397,403,2,2,277,227,NA,NA,NA,NA,2011,7,7,50,4906.00495480981,"WW"
400,399,1,1,74,73,NA,NA,NA,NA,2011,7,14,1,10902.8973567628,"DD"
399,398,1,1,73,51,NA,NA,NA,NA,2011,14,7,22,298.401024848801,"DD"
398,103,1,1,51,47,NA,NA,NA,NA,2011,7,7,4,26268.4832769642,"DD"
406,411,1,2,1944,1931,NA,NA,NA,NA,2016,7,7,13,5046.09752648329,"WD"
401,395,1,1,349,310,NA,NA,NA,NA,2011,7,7,39,4213.69135801549,"DD"
404,406,2,1,2206,1944,NA,NA,NA,NA,2016,7,7,262,14061.311113839,"DW"
407,391,1,1,860,521,NA,NA,NA,NA,2012,7,7,339,5022.83151702355,"DD"
414,413,1,4,1537,1080,NA,NA,NA,NA,2013,7,7,457,386.314925292033,"CD"
403,399,2,1,227,73,NA,NA,NA,NA,2011,7,14,154,5185.62748864127,"DW"
409,389,2,1,313,303,NA,NA,NA,NA,2011,7,7,10,12706.3181862993,"DW"
410,416,1,1,953,887,NA,NA,NA,NA,2013,7,7,66,8570.88174469744,"DD"
412,409,1,2,345,313,NA,NA,NA,NA,2011,7,7,32,12.9719234387933,"WD"
413,410,4,1,1080,953,NA,NA,NA,NA,2013,7,7,127,9025.2404813681,"Dc"
411,414,2,1,1931,1537,NA,NA,NA,NA,2015,7,7,394,7271.19180232044,"DW"
408,414,1,1,1539,1537,NA,NA,NA,NA,2015,7,7,2,11669.4486105881,"DD"
405,415,2,1,131,59,NA,NA,NA,NA,2011,7,7,72,17505.3148252698,"DW"
416,407,1,1,887,860,NA,NA,NA,NA,2013,7,7,27,3784.41323715159,"DD"
415,398,1,1,59,51,NA,NA,NA,NA,2011,7,7,8,57682.8879357008,"DD"
402,397,1,2,530,277,NA,NA,NA,NA,2011,28,7,253,100.140412435176,"WD"
385,391,1,1,531,521,NA,NA,NA,NA,2012,28,7,10,7404.02017465965,"DD"
417,420,1,1,1505,1167,NA,NA,NA,NA,2014,7,7,338,2520.9225230061,"DD"
419,422,2,1,437,355,NA,NA,NA,NA,2011,7,7,82,3645.33174445495,"DW"
418,433,2,2,59,2,NA,NA,NA,NA,2011,7,7,57,19349.5774645949,"WW"
420,94,1,1,1167,1161,NA,NA,NA,NA,2014,7,7,6,22771.9269069023,"DD"
421,432,2,2,1858,1564,NA,NA,NA,NA,2015,7,7,294,7865.69851863486,"WW"
428,452,2,1,470,466,NA,NA,NA,NA,2012,28,7,4,15002.7591412247,"DW"
425,418,2,2,87,59,NA,NA,NA,NA,2011,7,7,28,10467.8889824983,"WW"
431,425,2,2,134,87,NA,NA,NA,NA,2011,7,7,47,7014.53695816081,"WW"
430,431,1,2,259,134,NA,NA,NA,NA,2011,7,7,125,257.495920785289,"WD"
427,428,1,2,623,470,NA,NA,NA,NA,2012,28,28,153,2364.70027001487,"WD"
429,426,2,2,192,181,NA,NA,NA,NA,2011,7,7,11,8326.2719249368,"WW"
424,421,2,2,1900,1858,NA,NA,NA,NA,2016,28,7,42,9132.81574242777,"WW"
422,430,1,1,355,259,NA,NA,NA,NA,2011,7,7,96,12932.6999765921,"DD"
432,417,2,1,1564,1505,NA,NA,NA,NA,2015,7,7,59,12436.4092979603,"DW"
423,422,1,1,744,355,NA,NA,NA,NA,2011,7,7,389,114.460711154666,"DD"
434,436,2,2,551,533,NA,NA,NA,NA,2012,7,7,18,4193.05124723434,"WW"
437,441,1,1,1890,1748,NA,NA,NA,NA,2015,7,14,142,7323.39483985204,"DD"
