"layer","cellID","District","DistrictID","Village","VillageID","PA"
1,315,"Serengeti",1,"Nyamakobiti",67,0
1,316,"Serengeti",1,"Nyamakobiti",67,0
1,317,"Serengeti",1,"Nyamitita",16,0
1,318,"Serengeti",1,"Nyamitita",16,0
1,319,"Serengeti",1,"Nyamitita",16,0
1,320,"Serengeti",1,"Nyamitita",16,0
1,321,"Serengeti",1,"Nyamitita",16,0
1,322,"Serengeti",1,"Nyamitita",16,0
1,323,"Serengeti",1,"Nyamitita",16,0
1,324,"Serengeti",1,"Marasomoche",72,0
1,325,"Serengeti",1,"Sogoti",14,0
1,326,"Serengeti",1,"Sogoti",14,0
1,327,"Serengeti",1,"Nyansurura",73,0
1,328,"Serengeti",1,"Nyansurura",73,0
1,329,"Serengeti",1,"Kitarungu",75,0
1,330,"Serengeti",1,"Kitarungu",75,0
1,331,"Serengeti",1,"Machochwe",23,0
1,332,"Serengeti",1,"Machochwe",23,0
1,333,"Serengeti",1,"Machochwe",23,0
1,334,"Serengeti",1,"Machochwe",23,1
1,335,"Serengeti",1,"Machochwe",23,1
1,336,"Serengeti",1,"Machochwe",23,1
1,337,"Serengeti",1,"Machochwe",23,1
1,338,"Serengeti",1,"Machochwe",23,1
1,339,"Serengeti",1,"Nyamakendo",24,1
1,340,"Serengeti",1,"Nyamakendo",24,1
1,341,"Serengeti",1,"Nyamakendo",24,1
1,342,"Serengeti",1,"Mbalibali",85,1
1,343,"Serengeti",1,"Mbalibali",85,1
1,344,"Serengeti",1,"Mbalibali",85,1
1,345,"Serengeti",1,"Tamkeri",86,1
1,346,"Serengeti",1,"Tamkeri",86,1
1,347,"Serengeti",1,"Tamkeri",86,1
1,348,"Serengeti",1,"Tamkeri",86,1
1,349,"Serengeti",1,"Tamkeri",86,1
1,350,"Serengeti",1,"Tamkeri",86,1
1,351,"Serengeti",1,"Tamkeri",86,1
1,352,"Serengeti",1,"Tamkeri",86,1
1,353,"Serengeti",1,"Tamkeri",86,1
1,354,"Serengeti",1,"Tamkeri",86,1
1,355,"Serengeti",1,"Tamkeri",86,1
1,356,"Serengeti",1,"Tamkeri",86,1
1,357,"Serengeti",1,"Tamkeri",86,1
1,358,"Serengeti",1,"Tamkeri",86,1
1,359,"Serengeti",1,"Nyagasense",4,0
1,360,"Serengeti",1,"Nyagasense",4,0
1,361,"Serengeti",1,"Mesaga",3,0
1,362,"Serengeti",1,"Mesaga",3,0
1,363,"Serengeti",1,"Mesaga",3,0
1,364,"Serengeti",1,"Majimoto",65,0
1,365,"Serengeti",1,"Nyamakobiti",67,0
1,366,"Serengeti",1,"Nyamakobiti",67,0
1,367,"Serengeti",1,"Nyamitita",16,0
1,368,"Serengeti",1,"Nyamitita",16,0
1,369,"Serengeti",1,"Nyamitita",16,0
1,370,"Serengeti",1,"Nyamitita",16,0
1,371,"Serengeti",1,"Nyamitita",16,0
1,372,"Serengeti",1,"Nyamitita",16,0
1,373,"Serengeti",1,"Nyamitita",16,0
1,374,"Serengeti",1,"Musati",13,0
1,375,"Serengeti",1,"Sogoti",14,0
1,376,"Serengeti",1,"Sogoti",14,0
1,377,"Serengeti",1,"Kitarungu",75,0
1,378,"Serengeti",1,"Kitarungu",75,0
1,379,"Serengeti",1,"Kitarungu",75,0
1,380,"Serengeti",1,"Kitarungu",75,0
1,381,"Serengeti",1,"Machochwe",23,0
1,382,"Serengeti",1,"Machochwe",23,0
1,383,"Serengeti",1,"Machochwe",23,0
1,384,"Serengeti",1,"Machochwe",23,0
1,385,"Serengeti",1,"Machochwe",23,1
1,386,"Serengeti",1,"Nyamakendo",24,1
1,387,"Serengeti",1,"Nyamakendo",24,1
1,388,"Serengeti",1,"Nyamakendo",24,1
1,389,"Serengeti",1,"Nyamakendo",24,1
1,390,"Serengeti",1,"Mbalibali",85,1
1,391,"Serengeti",1,"Mbalibali",85,1
1,392,"Serengeti",1,"Mbalibali",85,1
1,393,"Serengeti",1,"Tamkeri",86,1
1,394,"Serengeti",1,"Tamkeri",86,1
1,395,"Serengeti",1,"Tamkeri",86,1
1,396,"Serengeti",1,"Tamkeri",86,1
1,397,"Serengeti",1,"Tamkeri",86,1
1,398,"Serengeti",1,"Tamkeri",86,1
1,399,"Serengeti",1,"Tamkeri",86,1
1,400,"Serengeti",1,"Tamkeri",86,1
1,401,"Serengeti",1,"Tamkeri",86,1
1,402,"Serengeti",1,"Tamkeri",86,1
1,403,"Serengeti",1,"Tamkeri",86,1
1,404,"Serengeti",1,"Tamkeri",86,1
1,405,"Serengeti",1,"Tamkeri",86,1
1,406,"Serengeti",1,"Tamkeri",86,1
1,407,"Serengeti",1,"Tamkeri",86,1
1,408,"Serengeti",1,"Tamkeri",86,1
1,409,"Serengeti",1,"Tamkeri",86,1
1,410,"Serengeti",1,"Tamkeri",86,1
1,411,"Serengeti",1,"Nyagasense",4,0
1,412,"Serengeti",1,"Nyagasense",4,0
1,413,"Serengeti",1,"Nyagasense",4,0
1,414,"Serengeti",1,"Mesaga",3,0
1,415,"Serengeti",1,"Mesaga",3,0
1,416,"Serengeti",1,"Mesaga",3,0
1,417,"Serengeti",1,"Mesaga",3,0
1,418,"Serengeti",1,"Ring'wani",18,0
1,419,"Serengeti",1,"Nyamitita",16,0
1,420,"Serengeti",1,"Nyamitita",16,0
1,421,"Serengeti",1,"Nyamitita",16,0
1,422,"Serengeti",1,"Nyamitita",16,0
1,423,"Serengeti",1,"Nyamitita",16,0
1,424,"Serengeti",1,"Nyamitita",16,0
1,425,"Serengeti",1,"Nyamitita",16,0
1,426,"Serengeti",1,"Musati",13,0
1,427,"Serengeti",1,"Sogoti",14,0
1,428,"Serengeti",1,"Sogoti",14,0
1,429,"Serengeti",1,"Kitarungu",75,0
1,430,"Serengeti",1,"Gesarya",19,0
1,431,"Serengeti",1,"Gesarya",19,0
1,432,"Serengeti",1,"Gesarya",19,0
1,433,"Serengeti",1,"Machochwe",23,0
1,434,"Serengeti",1,"Machochwe",23,0
1,435,"Serengeti",1,"Nyamakendo",24,0
1,436,"Serengeti",1,"Nyamakendo",24,0
1,437,"Serengeti",1,"Nyamakendo",24,0
1,438,"Serengeti",1,"Nyamakendo",24,1
1,439,"Serengeti",1,"Nyamakendo",24,1
1,440,"Serengeti",1,"Mbalibali",85,1
1,441,"Serengeti",1,"Mbalibali",85,1
1,442,"Serengeti",1,"Mbalibali",85,1
1,443,"Serengeti",1,"Tamkeri",86,1
1,444,"Serengeti",1,"Tamkeri",86,1
1,445,"Serengeti",1,"Tamkeri",86,1
1,446,"Serengeti",1,"Tamkeri",86,1
1,447,"Serengeti",1,"Tamkeri",86,1
1,448,"Serengeti",1,"Tamkeri",86,1
1,449,"Serengeti",1,"Tamkeri",86,1
